"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","15:21:50","SenateMajLdr",".@SenRubioPress discusses how Americans must not accept terrorist attacks as the new normal. https://t.co/A6qYpciul6 via @ABCNewsRadio",
"2016-07-17 ","21:46:32","SenateMajLdr","This unjustifiable attack is not just an attack on law enforcement, it is an attack on the very principles that bind us as a nation.",
"2016-07-08 ","17:19:46","SenateMajLdr","What we saw last night in Dallas was unconscionable. Read my full statement: https://t.co/R0tsrwg4bm",
"2016-07-08 ","03:28:06","SenateMajLdr","It is inexcusable to see Senate Democrats filibustering the defense appropriations bill, jeopardizing support for our troops.",
"2016-07-08 ","02:12:59","SenateMajLdr","At a time when we face an array of terror threats around the globe, we cannot afford to put politics above support for our troops.",
"2016-07-08 ","02:03:33","SenateMajLdr",".@POTUS' announcement about our troops in Afghanistan only underscores the Senate’s need to take up and pass the defense appropriations bill",
"2016-07-07 ","18:38:00","SenateMajLdr","Both @SenToomey &amp; @SenTedCruz bills would have sought to prevent the kind of pain that Kate Steinle's family has been forced to endure.",
"2016-07-07 ","17:56:41","SenateMajLdr","It's time to end violent criminal sanctuaries https://t.co/RK6VhBahoT 
#SanctuaryCities 
#KatesLaw","SanctuaryCities KatesLaw"
"2016-07-07 ","17:31:03","SenateMajLdr","Also, thank you @SenTedCruz for your #Kateslaw legislation that would protect public when jurisdictions continue to follow #SanctuaryCities","Kateslaw SanctuaryCities"
"2016-07-07 ","17:28:52","SenateMajLdr",".@SenToomey won't be derailed by Dems protecting #SanctuaryCities. I want to thank him for his leadership &amp; his tireless work on this.","SanctuaryCities"
"2016-07-07 ","17:25:26","SenateMajLdr","Yesterday, #Senate Dems again chose partisan politics over making a difference for American people by protecting #SanctuaryCities.","Senate SanctuaryCities"
"2016-07-07 ","15:36:58","SenateMajLdr","We know that #SanctuaryCities undermine the safety of our communities, &amp; can inflict incredible pain on innocent victims &amp; their families","SanctuaryCities"
"2016-07-07 ","15:31:11","SenateMajLdr","#Senate Democrats voted to defend #SanctuaryCities, block mandatory jail time for repeat criminal aliens → https://t.co/oizTtHlYvl","Senate SanctuaryCities"
"2016-07-07 ","15:13:32","SenateMajLdr","Patrick Kennedy on #CARA → “How can we just let a number of people die from overdoses just so we can make a political point…?”","CARA"
"2016-07-07 ","14:47:57","SenateMajLdr","Too many have seen impact of the #opioid epidemic firsthand. #CARA will make a difference. We need to send to President #Obama","opioid CARA Obama"
"2016-07-07 ","14:30:10","SenateMajLdr","After leading a partisan filibuster against anti-#Zika funding, @SenatorReid said yesterday “There’s no excuse for inaction or partisanship”","Zika"
"2016-06-13 ","22:02:59","SenateMajLdr","The #Senate marks Senator #Voinovich passing with sorrow. We will keep Janet &amp; the rest of the Voinovich family in our thoughts.","Senate Voinovich"
"2016-06-13 ","21:32:29","SenateMajLdr","The #Senate needs to be briefed on how President #Obama's plans to counter #ISIS","Senate Obama ISIS"
"2016-06-13 ","21:00:48","SenateMajLdr","It’s no longer a question if followers of #ISIS &amp; other terrorist groups will attempt to strike the West. They have &amp; they'll continue to.","ISIS"
"2016-06-13 ","20:33:10","SenateMajLdr","There is one thing that we know from the events in #Orlando
https://t.co/svlZlLndbM","Orlando"
"2016-06-13 ","20:07:41","SenateMajLdr","Let us recognize each act of heroism in #Orlando, and let us never forget the debts we owe to first responders.","Orlando"
"2016-06-13 ","15:33:28","SenateMajLdr","The #Senate will hold a moment of silence at 4:00 PM this afternoon to honor the victims of the #Orlando tragedy.","Senate Orlando"
"2016-06-12 ","15:57:04","SenateMajLdr","My statement on the #Orlando shooting: ""The nation's prayers are with the victims and their families…” https://t.co/RrvnUScq43","Orlando"
"2016-02-25 ","16:17:37","SenateMajLdr","With bipartisan support we can pass legislation like #CARA and others in order to promote healthier families and a healthier country.","CARA"
"2016-02-25 ","15:27:47","SenateMajLdr","In the coming days, we will be working to move forward on the important, bipartisan Comprehensive Addiction and Recovery Act #CARA.","CARA"
"2016-02-25 ","14:34:49","SenateMajLdr","I’m proud to join my colleague @ChuckGrassley today in introducing the Protecting Families Affected by Substance Abuse Act.",
"2015-12-03 ","22:13:20","SenateMajLdr","Americans were promised they could keep their health plans if they liked them. A promise Dems made to sell #Obamacare, a promise they broke.","Obamacare"
"2015-12-03 ","20:24:40","SenateMajLdr","In a new and more open #Senate, @SenatorBurr &amp; @SenFeinstein were able to ensure the passage of a bipartisan #cybersecurity bill.","Senate cybersecurity"
"2015-12-03 ","19:05:44","SenateMajLdr","Nobody is buying the spin on #Obamacare. Just more #brokenpromises.
https://t.co/2McTfKj9zc","Obamacare brokenpromises"
"2015-12-03 ","18:41:04","SenateMajLdr","Today we are on the verge of passing a 5 year #highwaybill. It would be the longest-term highway bill to pass Congress in almost two decades","highwaybill"
"2015-12-03 ","17:57:20","SenateMajLdr","Americans were promised that #Obamacare would lower costs or even bring down premiums. #brokenpromises https://t.co/etOQSn53dP","Obamacare brokenpromises"
"2015-12-03 ","17:56:21","SenateMajLdr","#Obamacare is leading to higher #healthcare costs → premiums up by double-digits in many areas, including #Kentucky.","Obamacare healthcare Kentucky"
"2015-12-03 ","17:34:52","SenateMajLdr","Thank you Vice President Cheney for your many years of dedicated service to this country and to this #Senate. https://t.co/Euy20jhAEZ","Senate"
"2015-12-03 ","14:45:39","SenateMajLdr","Today, a middle class that’s suffered under a partisan law will see the #Senate vote to build a bridge past #Obamacare. #brokenpromises","Senate Obamacare brokenpromises"
"2015-12-02 ","23:07:08","SenateMajLdr","Holiday cheer has reached the @uscapitol. #CapitolChristmasTree https://t.co/ZBkSPDdzEH","CapitolChristmasTree"
"2015-12-02 ","21:49:45","SenateMajLdr","#CapitolChristmasTree  https://t.co/fxqhkcpFcO","CapitolChristmasTree"
"2015-12-02 ","21:49:26","SenateMajLdr",".@SpeakerRyan is about to light the #CapitolChristmasTree. Watch live here → https://t.co/3Z8LHLCT7q","CapitolChristmasTree"
"2015-12-02 ","21:19:51","SenateMajLdr","#humantrafficking happens in every state. The #Senate passed bipartisan measures to put an end to this horrid crime. https://t.co/Qqfdljn6pK","humantrafficking Senate"
"2015-12-02 ","16:36:20","SenateMajLdr","#Obamacare has been a disaster from the start. A partisan law filled with higher costs &amp; #brokenpromises.
https://t.co/kb2wFIa4F6","Obamacare brokenpromises"
"2015-12-02 ","15:37:50","SenateMajLdr","We all know that #education reform is badly needed in this country. So the #GOP Senate did it. https://t.co/OcbIicAotV","education GOP"
"2015-12-02 ","14:41:59","SenateMajLdr","There is no doubt that #Obamacare is filled with #brokenpromises and is a direct attack on the middle class of our country.","Obamacare brokenpromises"
"2015-10-01 ","21:23:32","SenateMajLdr","The Senate's thoughts are with the victims and families in Roseburg, Oregon. #UCCShooting","UCCShooting"
"2015-10-01 ","19:39:06","SenateMajLdr","The new @WhiteHouse regulations could lead to massive job loss &amp; cost billions in lost economic growth. https://t.co/Vz81k5ViQ2",
"2015-10-01 ","17:11:31","SenateMajLdr","RT if you agree that #Democrats should not block critical Veterans’ funding. #SupportOurVets http://t.co/SQXj7RXZYh","Democrats SupportOurVets"
"2015-10-01 ","15:55:44","SenateMajLdr","#Dems voted for veterans bills in cmte, sending press releases praising it. Now they are prepared to block the #Senate from even debating it","Dems Senate"
"2015-10-01 ","15:23:56","SenateMajLdr","Yesterday the @WhiteHouse threatened to veto the national defense authorization bill, which passed #Senate w the bipartisan margin of 71-25.","Senate"
"2015-10-01 ","14:12:31","SenateMajLdr","Unattainable @EPA #Ozone Rule Could Be the ‘Most Expensive Regulation in History’ http://t.co/mVJrE9yDZp http://t.co/xJYGLwlMXc","Ozone"
"2015-07-16 ","22:15:58","SenateMajLdr","This is a sad day in #Chattanooga. A sad day across our country. The Senate's thoughts are with the families of the Marines.","Chattanooga"
"2015-07-16 ","18:54:32","SenateMajLdr","The GOP #Senate has taken more amendment roll-call votes on one single bill than the Dem Senate took all of last year, combined. #backtowork","Senate backtowork"
"2015-07-16 ","18:49:18","SenateMajLdr","Thanks to @SenAlexander &amp; @PattyMurray for their hard work on #ECAA. Their dedication &amp; leadership is critical to this bill. #backtowork","ECAA backtowork"
"2015-07-16 ","18:47:02","SenateMajLdr","#EveryChildAchieves gives our kids the #education they deserve. The #Senate is #backtowork for the American people. http://t.co/XqNnvjX9O9","EveryChildAchieves education Senate backtowork"
"2015-07-16 ","17:50:13","SenateMajLdr","The bipartisan #EveryChildAchieves Act would end the practice of states being coerced into adopting measures like #CommonCore. #education","EveryChildAchieves CommonCore education"
"2015-07-16 ","15:58:11","SenateMajLdr","#EveryChildAchieves is aimed at helping students succeed instead of helping Washington grow. #education #FixNCLB","EveryChildAchieves education FixNCLB"
"2015-07-16 ","15:24:36","SenateMajLdr","Just imagine what states could achieve when fully empowered to do what's right for their students. #ECAA #FixNCLB #CommonCore #education","ECAA FixNCLB CommonCore education"
"2015-06-18 ","23:00:22","SenateMajLdr","The #Senate on a procedural glide-path to consider and then pass the #TPA bill, the #AGOA &amp; Preferences bill, and #TAA. #backtowork #trade","Senate TPA AGOA TAA backtowork trade"
"2015-06-18 ","22:57:32","SenateMajLdr","In the judgement of members of both parties in the #House and the #Senate, our best way forward now is to consider #TPA and #TAA separately.","House Senate TPA TAA"
"2015-06-18 ","22:56:49","SenateMajLdr","Voting in favor of #TPA = more opportunities for American paychecks, for American workers &amp; #farmers, and for the American #economy. #trade","TPA farmers economy trade"
"2015-06-18 ","21:07:07","SenateMajLdr","The #Democrats are indeed embarking on a #filibustersummer","Democrats filibustersummer"
"2015-06-18 ","19:07:36","SenateMajLdr","We come together today to pray for all those affected by the #CharlestonShooting. http://t.co/B2ZhkuRf8a http://t.co/7RTgDJAunK","CharlestonShooting"
"2015-06-18 ","16:39:09","SenateMajLdr","Why should all Senators vote for #defense appropriations? Pay raises for our troops ✓ Better medical care ✓ Better mental-health care ✓","defense"
"2015-06-18 ","15:51:16","SenateMajLdr","The depth of loss these families must be feeling is awful. The Senate is thinking of them today &amp; the victims they loved #Charleston (2/2)","Charleston"
"2015-06-18 ","15:50:59","SenateMajLdr","The news out of #Charleston is tragic. That something like this could occur at a house of worship makes it that much worse. (1/2)","Charleston"
"2015-06-17 ","21:27:52","SenateMajLdr","Joint statement with @SpeakerBoehner on #TPA, #TAA, and #customs. http://t.co/0bmspAbuaq","TPA TAA customs"
"2015-06-17 ","16:12:25","SenateMajLdr","Dems must think this “Filibuster Summer” idea their leaders hatched isn’t good for America’s #nationalsecurity / job security in their state","nationalsecurity"
"2015-06-17 ","14:36:08","SenateMajLdr","Dems must know you can’t take credit for promises in a #defense authorization bill if you vote against the approps bill that would fund them","defense"
"2015-06-12 ","19:01:28","SenateMajLdr","Happy 91st to the 41st, @GeorgeHWBush 
https://t.co/FNCcPFHkCx http://t.co/PQsWqYg99u",
"2015-06-11 ","20:15:28","SenateMajLdr","#Kentucky is proud to be home to @FortKnoxKY and grateful for all they give back to the Commonwealth and the nation. http://t.co/ZTDq18DohA","Kentucky"
"2015-06-11 ","17:41:08","SenateMajLdr","Dems are holding our troops hostage in the most ""diverse and complex array of crises since the end of” WWII. #NDAA http://t.co/N5ckjWTLzn","NDAA"
"2015-06-11 ","16:21:24","SenateMajLdr","The #cybersecurity bill has been carefully scrutinized by both parties, easily passed through cmte, &amp; posted online for months to read.","cybersecurity"
"2015-06-11 ","16:04:35","SenateMajLdr","It's awfully cynical for Dem leaders to vote against the very same #cybersecurity bill their own party overwhelmingly endorsed in committee","cybersecurity"
"2015-06-11 ","15:16:49","SenateMajLdr","It's #seersucker Thursday in the #Senate. http://t.co/8w6q1MBI3A","seersucker Senate"
"2015-06-11 ","14:09:36","SenateMajLdr","Democrats have “decided to block all spending bills starting with the defense appropriations"" http://t.co/3VYwPBlDzH @washingtonpost",
"2015-06-11 ","14:05:57","SenateMajLdr","The @WhiteHouse owes it to every American to let #Congress help them get up to speed with the #cybersecurity realities of the 21st Century.","Congress cybersecurity"
"2016-09-23 ","22:22:25","RandPaul","We owe a debt of gratitude to those who fought for our freedoms. I stand with our veterans and will continue... https://t.co/UGQDNiX92T https://t.co/oIz37xHC6d",
"2016-09-23 ","19:33:34","RandPaul","Stopped by Yummy Pollo in Louisville to spend some time with my interns! Thanks for all your help. On to victory in November! https://t.co/SdEYSo9ZAc",
"2016-09-23 ","17:45:23","RandPaul","Great turnout today in Independence! Don't miss the next event: https://t.co/IkD6gY6DmY https://t.co/aV5hDzX6Uy",
"2016-09-23 ","14:54:08","RandPaul","Glad I could join @FOX19Kara live this morning in studio! https://t.co/HHEw6u0f3x",
"2016-09-23 ","13:23:18","RandPaul","Good morning, Kentucky! Starting the day off in Newport discussing the importance of following the Constitution so we can all prosper. https://t.co/xRk8crXamT",
"2016-07-07 ","23:25:11","RandPaul","The decision not to prosecute Clinton is an outrage. Tell the DOJ she isn't above the law: https://t.co/jJla0gZDTj https://t.co/WAAjWotDvQ",
"2016-07-07 ","16:19:02","RandPaul","Time to discuss the FBI's problematic decision on @HillaryClinton with @KellieMeyerNews. https://t.co/5mxCxhVwsO",
"2016-07-07 ","02:39:32","RandPaul","This is a loss for the rule of law and further degrades Americans’ faith in the justice system.
https://t.co/JqZ1SgVeGS",
"2016-06-13 ","22:18:46","RandPaul","Great news for Kentucky. I'll continue to fight for common sense solutions to heroin addiction.
https://t.co/RFMjhYNmcQ",
"2016-06-13 ","14:09:45","RandPaul","I'm proud to co-sponsor this bill to fight heroin addiction. it's a serious issue facing Kentucky and the entire US. https://t.co/vl6W0mmtiD",
"2016-06-12 ","16:00:31","RandPaul","Horrific and tragic news out of Orlando, Florida. Kelley and I join the rest of the nation in praying for the victims.",
"2016-02-26 ","20:46:30","RandPaul","#StandwithRand and demand my Waste Report be included in the FY 2017 budget! Add your name: https://t.co/gK9CsrV3Ot
https://t.co/71RixOcVsh","StandwithRand"
"2016-02-26 ","18:57:45","RandPaul","Happy to be in Metcalfe Co. today discussing the Waste Report and my resolution to halt arms sales to Pakistan! https://t.co/ga05iAvRWp",
"2016-02-26 ","18:25:36","RandPaul","We should not sell arms to a country whose intelligence and military apparatuses are actively assisting Taliban https://t.co/wv8yI8pwZ9",
"2016-02-25 ","22:38:42","RandPaul","#StandwithRand and urge the Budget Committee to implement the cuts from the Waste Report: https://t.co/gK9CsrV3Ot
https://t.co/0kYR5mpGxV","StandwithRand"
"2016-02-25 ","20:28:43","RandPaul","Enough is enough. I hope you'll stand with me against this ludicrous policy.",
"2016-02-25 ","20:28:29","RandPaul","We give them billions in foreign aid while reports suggest they're helping the Taliban...",
"2016-02-25 ","20:27:58","RandPaul","Their gov has been considered an ally against terrorism. But they have been duplicitous, human rights abusers, and jail religious minorities",
"2016-02-25 ","20:26:31","RandPaul","The United States has a complicated relationship with the Pakistan government...",
"2016-02-25 ","20:26:04","RandPaul","I introduced a Resolution to halt arms sales to the government of Pakistan. If approved it will stop the sale of F-16s &amp; other military gear",
"2016-02-25 ","19:28:16","RandPaul","Good issue for Rs and Ds to work on together, been doing it for a while. Where was @HillaryClinton? https://t.co/9Fz60PWdbJ #WhichHillary","WhichHillary"
"2016-02-25 ","14:53:09","RandPaul",".@HillaryClinton: Champion of Mass Incarceration - attempts to undo the damage she caused as 1st Lady. Painfully transparent #WhichHillary","WhichHillary"
"2016-02-20 ","21:41:32","RandPaul","We have to decide what are the essentials of government and how can we reasonably fund them. https://t.co/EqQEVTP2ky",
"2016-02-20 ","18:17:17","RandPaul","Politicians don't lay awake at night bc they wasted your money. That's why we need government to be small. - RP at Centre College Town Hall",
"2016-02-20 ","14:30:43","RandPaul","I'm giving $2.4 million back to the tax payers from our budget! https://t.co/5ZTsSEqCbO",
