"Date","Time","screen_name","text","hashtags"
"2016-09-21 ","15:19:28","SenatorReid","I can't believe Republican leaders would support this man for anything, much less President of the United States. https://t.co/WJJkC5t0fR",
"2016-09-21 ","14:32:11","SenatorReid","Trump, prove to every American you are not mooching off the American taxpayer. Release your tax returns. Prove me and @MittRomney wrong.",
"2016-09-21 ","14:21:27","SenatorReid","In last 3 decades, Trump received $885M in tax breaks, while Ohio got $686M in 2014 to provide for needy families. Trump is a welfare king.",
"2016-02-23 ","15:24:25","SenatorReid","Republicans should think about this: If they follow McConnell's lead, they'll be as responsible as Trump/Cruz for debasement of their Party.",
"2016-02-23 ","15:22:03","SenatorReid","We have 333 days left in President Obama's term of office.

A Supreme Court confirmation process takes an average of 67 days. 

#DoYourJob","DoYourJob"
"2016-02-23 ","15:18:09","SenatorReid","We believe Claire will be ok. She is in all our thoughts. https://t.co/f9yuwGVpdP",
"2015-11-30 ","20:24:01","SenatorReid","It's a sad commentary that some are more concerned about keeping refugees out of America than about keeping guns out of the wrong hands.",
"2015-11-30 ","20:22:30","SenatorReid","We as leaders must be mindful of our words. Whipping people into frenzy of hate and providing easy access to firearms has proven disastrous.",
"2015-11-30 ","20:20:46","SenatorReid","In wake of domestic terrorist act, I commend @PPFA for refusing to allow threats and violence to stand in the way of its important work.",
"2015-10-29 ","15:20:50","SenatorReid","The wage gap Latina women endure is a disgrace. No woman should make less than a man who does the exact same work. https://t.co/UwzmFRBoAo",
"2015-10-29 ","14:53:38","SenatorReid","Thanks to @GovSandoval for expanding Medicaid and refusing to let politics stand in the way of children’s health. https://t.co/Tk0IiCgWu9",
"2015-10-29 ","14:49:42","SenatorReid","This is further proof that the Affordable Care Act is helping families in Nevada and all across America. https://t.co/i3uGPdNzmr",
"2015-10-29 ","14:31:52","SenatorReid","Think about this: Yesterday, 68 percent of House Republicans voted for default and for closing the government.",
"2015-07-14 ","13:13:51","SenatorReid","Today’s historic agreement is the result of years of hard work by President Barack Obama and his administration.",
"2015-07-14 ","13:07:50","SenatorReid","Today's accord is historic. It is now incumbent on Congress to review this agreement with the thoughtful, level-headed process it deserves.",
"2015-06-15 ","18:14:14","SenatorReid","I look forward to the day when programs like DACA are replaced with permanent comprehensive reforms to our immigration system. #DACAworks","DACAworks"
"2015-06-15 ","18:07:48","SenatorReid","Thanks to DACA, over 660,000 DREAMers, including 11,000 Nevadans, no longer live in fear of deportation. #DACAworks","DACAworks"
"2015-06-09 ","21:28:40","SenatorReid","It is a sad state of affairs for the NFL that they care more about cancelling a fantasy football convention than a racist franchise name.",
"2015-06-09 ","14:16:12","SenatorReid","Sequestration—arbitrary cuts that were once assumed to be so stupid that Congress would never allow them—is now official Republican policy.",
"2014-05-21 ","13:55:01","SenatorReid","On recent bills, Republicans Senators are voting against their own legislation! For what reason? You tell me.",
"2014-05-21 ","13:37:44","SenatorReid","I confess I've never seen some Senators work so hard to do so little. My GOP colleagues have exerted effort to cause nothing to get done.",
"2014-04-01 ","20:56:50","SenatorReid","@joshledermanAP @samsteinhp @JustinCSnow Indeed, ""repeal"" -- http://t.co/YLjBbsGgNB",
"2014-04-01 ","18:39:11","SenatorReid","Are Republicans still pushing to repeal the lifeline for millions of newly-insured Americans? #7MillionAndCounting","7MillionAndCounting"
"2014-04-01 ","17:49:36","SenatorReid","The Affordable Care Act is working. More than 7 million Americans enrolled by the deadline, and that number will go up. #7MillionAndCounting","7MillionAndCounting"
"2014-04-01 ","17:38:21","SenatorReid","House Budget Chairman Paul Ryan’s budget should be called The Koch Budget. #Kochtopia https://t.co/mODe6jUFo9","Kochtopia"
"2014-04-01 ","14:17:07","SenatorReid","To any and all groups who wish to attack me on behalf of the Kochs, I say ‘fire away.’ I am proud to be the target of your attacks.",
"2014-04-01 ","14:10:52","SenatorReid","The budget proposals drafted by House Budget Chairman Paul Ryan have been a blueprint for a modern Kochtopia. It's the Koch Budget.",
"2014-04-01 ","14:06:06","SenatorReid","The Kochs’ gall is staggering. They want to say false and misleading things about Obamacare, but we’re not allowed to criticize them for it?",
"2014-04-01 ","00:01:47","SenatorReid","Tonight, the Senate adopted the motion to proceed to #RenewUI. By rule, next vote on the bill will be Wed. http://t.co/dHbYY03mhY","RenewUI"
"2014-02-18 ","21:59:20","SenatorReid","97% of those who are directly affected by #RaiseTheWage to $10.10/hr will be affected positively. http://t.co/HUfHoFObNb","RaiseTheWage"
"2014-02-18 ","21:20:51","SenatorReid","The Koch bros made over $18 billion last year, but middle-class families have watched their incomes stagnate for decades. #RaiseTheWage","RaiseTheWage"
"2014-02-18 ","15:33:48","SenatorReid","For me, a key goal of immigration reform is about bringing and keeping families together. https://t.co/D4WLcOdtbh http://t.co/ji8ZEt30ZZ",
