"Date","Time","screen_name","text","hashtags"
"2016-09-24 ","20:52:07","SteveScalise","Where you start in life shouldn't matter - everyone should have the opportunity to pursue their dreams. #BetterWay
https://t.co/W8irFVG0jF","BetterWay"
"2016-09-24 ","19:05:42","SteveScalise","Took Harrison to his first @TheCubScouts ""Wolf"" pack meeting! #prouddad https://t.co/2NnZC2TpTb","prouddad"
"2016-09-23 ","18:59:50","SteveScalise","Clinton's proposal would give the US the highest death tax in the world... that isn't something to be proud of.
https://t.co/ePnYg26gI0",
"2016-09-23 ","18:29:58","SteveScalise","""The deteriorating Obamacare market that the health insurance industry feared is here."" 
https://t.co/ZKDJKcSdGh",
"2016-09-23 ","15:58:11","SteveScalise","It's the American dream to pass your family business to the next generation. Clinton's proposal would stop that. 
https://t.co/ePnYg26gI0",
"2016-09-23 ","15:06:28","SteveScalise","These funds will help people rebuild their homes and businesses. They'll help families return to their communities. https://t.co/72hq42k4qE",
"2016-09-23 ","01:38:21","SteveScalise","The President's ransom payments to Iran have endangered Americans traveling abroad. @RepEdRoyce's bill will stop future cash payments. https://t.co/0WFm9zxm6Q",
"2016-07-18 ","23:11:47","SteveScalise","Secret documents were revealed that lift nuke restraints on Iran... The Iran deal was worse than we thought.
https://t.co/og2bzhUAK3",
"2016-07-18 ","20:12:07","SteveScalise","The big takeaway from the press briefing in #BatonRouge: our police are heroes. They acted selflessly and with extraordinary bravery.","BatonRouge"
"2016-07-18 ","18:19:35","SteveScalise","The White House is cutting its forecast for economic growth. In contrast, #BetterWay would grow the economy 9.1%. 
https://t.co/uanQCyQjBM","BetterWay"
"2016-07-18 ","16:53:15","SteveScalise","This is a big problem, and legislation to fix it is being blocked by Senate Democrats. https://t.co/URWUZk5osm",
"2016-07-17 ","19:37:41","SteveScalise","Jennifer and I are praying for the officers who swore to protect our communities, but won’t return home tonight, and for their families.",
"2016-07-17 ","19:37:05","SteveScalise","Today we're heartbroken and angered by the news that police officers in Baton Rouge were targeted and killed.
https://t.co/fh5VQyqLQL",
"2016-07-17 ","15:45:43","SteveScalise","Terrible news out of Baton Rouge... I am closely monitoring the situation and praying for the officers who were attacked.",
"2016-07-08 ","20:40:05","SteveScalise","When it gets to his desk, the President should sign this important piece of legislation into law. 
https://t.co/Lly8myWAnB",
"2016-07-08 ","15:22:04","SteveScalise","Together, we must commit ourselves to words and deeds that heal and bring peace. 
https://t.co/3xfSEYttV8 https://t.co/nQW6pNP6Ol",
"2016-07-07 ","19:51:31","SteveScalise","Democrats are blocking a bill right now to help do this:
https://t.co/ibrLux4rbY",
"2016-07-07 ","16:49:52","SteveScalise","Political elites like the Clintons should not get special treatment, period.
https://t.co/umDynNoMWO",
"2016-07-07 ","16:13:01","SteveScalise","FBI Director confirms Clinton lied:
❌ Sent &amp; received classified info
❌ Used multiple devices
❌ Deleted work e-mails
https://t.co/O37vZ44Oag",
"2016-07-07 ","14:42:55","SteveScalise","The Obama Administration abused its power &amp; intentionally violated the Constitution to illegally prop up Obamacare.
https://t.co/z4xKF0JEsd",
"2016-07-07 ","13:34:11","SteveScalise","Security experts are saying Hillary Clinton's server was likely hacked, and that we'll never catch the hackers.
https://t.co/nDOA2HL4j1",
"2016-07-07 ","04:13:53","SteveScalise","The House just passed a package of seven IT security and government reform bills from @GOPOversight. https://t.co/MOm1H1ZK2m",
"2016-06-13 ","23:07:39","SteveScalise","The House condemns the practice of state-sanctioned forced organ harvesting in the People’s Republic of China. https://t.co/aVXqOLYcOn",
"2016-06-13 ","22:03:22","SteveScalise","Human organ trafficking is a terrible crime. @repdavetrott's bill to combat this atrocity has passed the House. https://t.co/QPnZIQ0OIY",
"2016-06-13 ","21:43:30","SteveScalise","We're sending a bill to the President's desk to make it easier for you to access public government records. https://t.co/k02pCSZKEu",
"2016-06-12 ","18:05:18","SteveScalise","Jennifer and I are praying for those tragically killed and injured in the Orlando attack, and for their families.",
"2016-09-23 ","13:11:33","RepGarretGraves","Graves seeks federal aid to cover potential sales tax gap https://t.co/BfNJ2mJcId via @LPNews1898",
"2016-07-18 ","21:33:34","RepGarretGraves","Some of you might notice something different about the Millerville exit tomorrow: https://t.co/uM4J9EUDPb",
"2016-07-17 ","15:32:30","RepGarretGraves","Prayers go out to our brave officers and their families.   https://t.co/3GKrSnfkEJ",
"2016-07-08 ","21:57:42","RepGarretGraves","#Unify https://t.co/wPRnZroWfQ","Unify"
"2016-07-07 ","01:38:33","RepGarretGraves","Share your thoughts on this and any other issue here:  https://t.co/da7POzIQxe",
"2016-07-07 ","01:38:29","RepGarretGraves","The current system is drawn out and inefficient.",
"2016-07-07 ","01:19:03","RepGarretGraves","The reason I introduced this bill is because in the real world, work gets done online.",
"2016-07-07 ","01:18:49","RepGarretGraves","This bill modernizes the BOEM’s offshore leasing process through internet-based oil and natural gas lease sales…",
"2016-07-07 ","01:00:47","RepGarretGraves","""Rep. Graves’ Offshore Bill Modernizes Federal Oil and Gas Leasing Process"": https://t.co/BFw2pyOG0u",
