Date,Time,R_or_D,Before_or_After_Shooting,screen_name,text,case,race,mentions_terror,Shooting_related_terrorism
12/3/15,13:10:33,R,After,Robert_Aderholt,Contortions morning media going thru to shift #SanBernadinoShooting from suspected lone-wolf terrorism to gun control is astounding @msnbc,Inside,Other,1,1
6/12/16,19:02:07,R,After,RepMarthaRoby,We must dispel the notion that our struggle against radical Islamic terrorism is just an overseas fight. That fight is here in the Homeland.,Inside,Other,1,1
6/12/16,18:59:05,R,After,RepMarthaRoby,"This is the worst terrorist attack on American soil since September 11, 2001. Though reports on ties to specific groups still coming in...",Inside,Other,1,1
6/12/16,18:51:43,R,After,RepMarthaRoby,Horrified &amp; heartbroken by the terrorist attack in Orlando. I ask you to join me in prayers of comfort and healing for everyone affected...,Inside,Other,1,1
6/12/16,18:24:28,R,After,USRepGaryPalmer,"My thoughts and prayers go to the victims of the terror attack in #Orlando, their families &amp; the first responders.  https://t.co/7YGrXm1bUM",Inside,Other,1,1
10/1/15,19:02:29,R,After,USRepGaryPalmer,"#NotOneCent of sanctions relief, especially before Iran compensates victims of terror. h/t @RepMeehan #alpolitics
https://t.co/knNhlYFqrA",General-Iran,,1,0
10/1/15,16:10:58,R,After,USRepGaryPalmer,See @RepMeehan's powerful video re: Justice for Victims of Iranian Terrorism Act.  Proud to co-sponsor. #NotOneCent https://t.co/faREUNhk2Z,General-Iran,,1,0
6/11/15,22:16:07,R,After,USRepGaryPalmer,"Proud to support HR 2685, which includes a 2.3% raise for our troops &amp; $88.4 billion for fighting the War on Terror.
https://t.co/3uuMJcgjwA",General-Iran,,1,0
10/2/15,15:02:40,R,After,RepFrenchHill,ICYMI: My statement urging my colleagues to vote for a bill that gets justice for victims of Iranian terrorism: https://t.co/216HuyDooa,General-Iran,,1,0
10/1/15,21:23:41,R,After,RepFrenchHill,Here is why @RepMeehan's Victims of Iranian Terrorism Act is so important: https://t.co/DAWdhk3KaF … Proud to support this bill. #NotOneCent,General-Iran,,1,0
6/13/16,21:18:50,R,After,RepWesterman,I grieve for the families of those lost and for those injured in Sunday's terrorist attack. #PrayforOrlando https://t.co/MUlodr8ljq,Inside,Other,1,1
10/12/11,18:58:50,R,After,RepDavid,"Today on the 11th anniversary of USS Cole terror attack, we honor the memory of those lost. God bless our troops and their families. #USA",General,,1,0
6/12/16,22:52:25,R,After,DevinNunes,My statement on the #OrlandoTerrorAttack: https://t.co/Q6f2ItvlgG,Inside,,1,0
7/17/15,22:12:25,R,After,DevinNunes,"Dangerous times, from Tennessee to Tehran. My thoughts on current terror threats here: http://t.co/kc8ipv8xwP http://t.co/JBqR7bDbhG",Inside,Other,1,1
7/17/15,17:41:41,R,After,DevinNunes,I'm discussing terrorism with @RayAppletonKMJ today at 11:00 am PST on @KMJNOW. Listen live: http://t.co/ObqLscrBtf http://t.co/YLS2zNEKi7,General,,1,0
9/23/16,1:46:29,R,After,RepEdRoyce,"My legislation to ban cash payments to #Iran, the #1 state sponsor of terrorism, just passed the House: https://t.co/y04d4AtZko",General-Iran,,1,0
9/23/16,0:34:44,R,After,RepEdRoyce,"The House will vote on my legislation to stop cash payments to the #1 state sponsor of terrorism, #Iran, tonight. https://t.co/YZtpFkkplE",General-Iran,,1,0
9/23/16,0:30:43,R,After,RepEdRoyce,Appreciate @RepPoliquin's dedication to national security. He's a consensus building leader. #Iran is the #1 state sponsor of terrorism. https://t.co/87cf6KrnRx,General-Iran,,1,0
7/7/16,17:03:48,R,After,RepEdRoyce,Attended @FinancialCmte hearing on US aircraft sales to Iran. Witnesses confirmed: Iran Air facilitates terrorism - https://t.co/nZOZhvJRMB,General-Iran,,1,0
7/7/16,14:50:16,R,After,RepEdRoyce,VIDEO: My opening statement at today's @HouseForeign hearing on Admin's reckless release of terrorists from #Gitmo - https://t.co/Gzxk4KsGVW,General-Guantanamo ,,1,0
6/13/16,20:54:31,R,After,RepEdRoyce,We need to defeat the terrorists and prevail in the war against radical Islamic extremism: https://t.co/VIwfk1wkrq,Inside,Other,1,1
10/1/15,20:03:26,R,After,RepEdRoyce,My speech on the House floor supporting @RepMeehan's Justice for Victims of Iranian Terrorism Act: https://t.co/6H9x8Uentm,General-Iran,,1,0
10/1/15,18:38:16,R,After,RepEdRoyce,"#Iran has actively funded terrorist groups, operations that have resulted in hundreds of Americans’ deaths: https://t.co/VQSImzWYET",General-Iran,,1,0
12/3/15,22:15:09,R,After,KenCalvert,We will not and cannot let cowards with evil intentions terrorize our communities and our country.,Inside,Other,1,1
9/23/16,3:12:17,R,After,DarrellIssa,The President’s bad deal with Iran was made even worse by a decision to pay ransom to the globe’s number one state sponsor of terror,General-Iran,,1,0
6/12/16,18:49:37,R,After,DarrellIssa,We must be resolute in our efforts to find and stop those who plan and commit these unacceptable acts of violence and terror. (3/3),Inside,Other,1,1
10/1/15,16:48:50,R,After,RepJeffDenham,Iran should receive #NotOneCent of sanctions relief before paying the billions owed to victims of their terrorism https://t.co/JENluhghXc,General-Iran,,1,0
6/12/16,14:48:57,R,After,RepPaulCook,This morning's horrifying assault in Orlando was an act of hate and terror. My prayers are with the victims of this horrific act.,Inside,Other,1,1
10/1/15,18:05:13,R,After,RepPaulCook,I just voted for #HR3457 to ensure victims of Iranian terror receive the justice they deserve. Read more--&gt; https://t.co/zmwz3gq63K #CA08,General-Iran,,1,0
10/2/15,20:16:27,R,After,RepDLamborn,It is a dangerous fantasy for the Obama Admin. to think they are going to move #Guantanamo terrorists to Colorado http://t.co/nTXXmIoGiB,General-Guantanamo ,,1,0
6/13/16,15:14:46,R,After,RepMikeCoffman,"Last night, I spoke @ a vigil honoring the victims of the #Orlando terrorist attack. #WeAreOrlando (📷@DurangoHerald) https://t.co/DwyFpXaHaa",Inside,Other,1,1
10/2/15,20:47:26,R,After,RepMikeCoffman,This is outrageous-I’ll do everything I can to stop it- these terrorists should be at Guantanamo not CO http://t.co/VkFi7nvBTh #copolitics,General-Guantanamo ,,1,0
9/23/16,17:26:01,R,After,RepKenBuck,"Every dollar we give to Iran has the chance to fall into the hands of their terrorist proxies, Hezbollah. #HR5931",General-Iran,,1,0
9/23/16,17:25:35,R,After,RepKenBuck,America does not negotiate with terrorists. #HR5931,General-Iran,,1,0
6/12/16,19:15:19,R,After,RepKenBuck,My heart breaks for those affected by this horrible act of terrorism in Orlando.,Inside,Other,1,1
10/1/15,19:22:04,R,After,RepKenBuck,Iran must be held accountable for its terrorist acts against American citizens. #NotOneCent,General-Iran,,1,0
10/1/15,19:20:09,R,After,RepKenBuck,I voted today for a bill that prohibits the lifting of sanctions on Iran until the country pays the victims of its terrorism #NotOneCent,General-Iran,,1,0
6/12/16,18:47:50,R,After,AnderCrenshaw,". @FLGovScott, @FBI No matter the source, we will not let guard down against terrorism, hatred. #Orlando https://t.co/5Lr2iqPzId",Inside,Other,1,1
10/12/11,18:02:49,R,After,RepConnieMack,Mack: “Terror Plot Underscores Need for Plan with Mexico to Counter Terrorist Insurgency” http://t.co/SCBI0W0w,General,,1,0
9/23/16,14:53:46,R,After,RepDennisRoss,"Proud to join my colleagues on both sides of the isle in prohibiting ransom payments to Iran, the largest state sponsor of terrorism. https://t.co/zfEzPSeDUw",General-Iran,,1,0
10/1/15,19:30:28,R,After,RepDennisRoss,Iran is getting a pay day with #BadIranDeal while its terrorist victims await billions in compensation! #NotOneCent https://t.co/pKCpjiB0W0,General-Iran,,1,0
4/3/14,21:01:29,R,After,RepTedYoho,Tune into @cspan &amp; watch my discussion on stopping tax$ going to Palestinians imprisoned for terror-related offenses. http://t.co/1M3Ihqim6G,General-Islamic,,1,0
6/12/16,13:48:16,R,After,RepDeSantis,"My thoughts &amp; prayers are with the victims, families &amp; people of Orlando. Thanks to law enforcement who responded to this act of terror.",Inside,Other,1,1
